transaction_id,date,region,product_category,customer_segment,units_sold,revenue,cost,discount_applied
TXN00102,1/1/2023,Europe,Clothing,SMB,2,204.34,114.38,0
TXN00221,1/3/2023,Middle East,Furniture,Government,5,7255.41,2957.98,0
TXN00093,1/7/2023,Asia Pacific,Office Supplies,Consumer,1,174.77,88.48,0
TXN00191,1/9/2023,North America,Electronics,SMB,25,42946.67,25235.09,10
TXN00230,1/10/2023,Europe,Electronics,Enterprise,25,45034.8,25534.33,0
TXN00251,1/12/2023,Latin America,Clothing,Consumer,5,399.69,172.55,5
TXN00222,1/12/2023,Middle East,Furniture,Government,5,7960.15,4635.76,10
TXN00281,1/13/2023,North America,Technology,Government,1,3296.55,1353.54,10
TXN00282,1/14/2023,North America,Furniture,Enterprise,3,3396.71,1510.4,0
TXN00111,1/15/2023,Middle East,Electronics,Government,10,13231.35,9252.79,10
TXN00015,1/15/2023,Europe,Furniture,Government,1,291.4,172.19,0
TXN00146,1/17/2023,Europe,Electronics,Consumer,5,1563.58,1074.89,10
TXN00172,1/17/2023,Europe,Technology,Government,5,16839.08,7276.07,10
TXN00278,1/19/2023,Middle East,Technology,Consumer,20,29425.23,13189.99,5
TXN00374,1/22/2023,Middle East,Office Supplies,Consumer,10,355.43,174.1,0
TXN00175,1/22/2023,Europe,Office Supplies,SMB,20,4679.11,3231.69,10
TXN00250,1/25/2023,Middle East,Clothing,SMB,1,33.87,14.92,20
TXN00141,1/29/2023,Middle East,Office Supplies,Government,3,772.58,476.26,5
TXN00170,1/31/2023,Europe,Furniture,Government,2,4271.37,1914.55,10
TXN00013,2/2/2023,Middle East,Office Supplies,Government,5,1249.99,677.08,0
TXN00081,2/3/2023,Latin America,Furniture,SMB,5,9472.73,5267.3,15
TXN00334,2/4/2023,North America,Furniture,Government,50,13755.88,8368.19,0
TXN00041,2/5/2023,Middle East,Technology,Enterprise,1,2056.97,854.12,15
TXN00416,2/8/2023,North America,Office Supplies,Government,5,1096.26,602.58,0
TXN00178,2/8/2023,Middle East,Clothing,Consumer,2,70.6,42.65,5
TXN00152,2/8/2023,North America,Technology,Enterprise,10,34383.16,19118.77,0
TXN00074,2/10/2023,Latin America,Office Supplies,SMB,1,75.79,39.67,5
TXN00252,2/12/2023,Europe,Technology,Consumer,2,931.29,590.65,0
TXN00460,2/12/2023,North America,Electronics,SMB,10,5582.78,3328.44,10
TXN00379,2/14/2023,Middle East,Office Supplies,Consumer,20,2790.64,1210.8,10
TXN00082,2/23/2023,Latin America,Clothing,SMB,20,1810.45,796.97,0
TXN00091,2/25/2023,Asia Pacific,Clothing,Enterprise,2,377.33,235.63,0
TXN00285,2/26/2023,Middle East,Technology,Enterprise,5,11989.7,7106.27,0
TXN00308,2/27/2023,Latin America,Furniture,Enterprise,1,405.94,218.87,15
TXN00209,2/28/2023,Middle East,Electronics,Enterprise,5,8210.03,4262.76,0
TXN00196,2/28/2023,Asia Pacific,Technology,SMB,3,3223.85,1694.2,0
TXN00332,3/3/2023,North America,Technology,Consumer,2,4861.47,2780.78,5
TXN00219,3/6/2023,Latin America,Furniture,Consumer,5,4268.88,2410,5
TXN00307,3/9/2023,Latin America,Clothing,Consumer,20,2676.45,1262.32,0
TXN00446,3/10/2023,Asia Pacific,Electronics,SMB,1,760.2,458.6,0
TXN00237,3/11/2023,North America,Technology,Enterprise,5,3619.15,2316.64,0
TXN00482,3/12/2023,Middle East,Clothing,SMB,20,1212.95,669.96,0
TXN00454,3/14/2023,North America,Electronics,Consumer,2,1953.94,1289.27,15
TXN00417,3/15/2023,Latin America,Clothing,Government,25,1875.46,1107.1,0
TXN00064,3/15/2023,Europe,Technology,Enterprise,1,790.63,482.51,0
TXN00137,3/16/2023,Europe,Clothing,SMB,5,355.54,201.33,5
TXN00291,3/16/2023,North America,Furniture,Government,2,3349.55,2324.23,0
TXN00049,3/17/2023,Europe,Office Supplies,Enterprise,1,112.44,48.07,0
TXN00080,3/19/2023,North America,Electronics,Consumer,2,938.79,622.86,10
TXN00436,3/22/2023,North America,Furniture,Government,2,928.86,595.45,0
TXN00450,3/23/2023,Europe,Technology,Enterprise,2,5109.6,2157.34,5
TXN00457,3/24/2023,North America,Furniture,Government,10,18086.75,11246.75,0
TXN00180,3/25/2023,Asia Pacific,Electronics,Enterprise,100,109820.13,73385.08,0
TXN00124,3/25/2023,North America,Electronics,Government,3,1306.01,912.98,5
TXN00430,3/26/2023,Middle East,Technology,Consumer,20,8802.65,4025.77,0
TXN00149,3/27/2023,Europe,Clothing,Consumer,2,281.1,194.33,15
TXN00265,3/28/2023,Middle East,Clothing,Government,1,160.36,67.61,0
TXN00277,3/29/2023,Latin America,Clothing,SMB,5,592.76,327.5,0
TXN00468,3/29/2023,Latin America,Technology,Consumer,2,4449.98,1795.33,0
TXN00406,3/31/2023,Latin America,Furniture,Enterprise,5,11965.84,6862.28,0
TXN00007,4/2/2023,Latin America,Technology,Enterprise,15,17281.9,8940.24,0
TXN00493,4/2/2023,North America,Technology,SMB,10,33026.6,20727.98,5
TXN00050,4/4/2023,Latin America,Clothing,Government,1,168.59,108.25,0
TXN00105,4/5/2023,North America,Clothing,SMB,10,912.78,620.58,20
TXN00016,4/6/2023,Latin America,Clothing,Consumer,5,462.4,213.13,15
TXN00309,4/7/2023,Europe,Technology,Consumer,1,2073.31,1340.67,0
TXN00451,4/8/2023,North America,Office Supplies,Government,5,800.98,486.14,0
TXN00305,4/8/2023,Asia Pacific,Clothing,Consumer,5,163.92,90.77,10
TXN00246,4/11/2023,Latin America,Furniture,Government,25,12784.72,8249.15,0
TXN00001,4/13/2023,Latin America,Clothing,Consumer,10,998.32,446.05,0
TXN00366,4/14/2023,North America,Furniture,Consumer,2,1762.01,725.66,0
TXN00110,4/14/2023,Asia Pacific,Office Supplies,SMB,25,3877.94,1940.8,0
TXN00348,4/15/2023,Europe,Furniture,Consumer,5,843.71,498.49,15
TXN00153,4/18/2023,Europe,Office Supplies,SMB,100,1205.42,549.24,0
TXN00315,4/19/2023,Middle East,Clothing,SMB,5,274.47,182.41,0
TXN00192,4/21/2023,Asia Pacific,Office Supplies,Government,5,864.64,549.18,0
TXN00087,4/21/2023,North America,Office Supplies,SMB,10,530.55,323.08,0
TXN00461,4/21/2023,Latin America,Electronics,Enterprise,1,450.43,303.3,0
TXN00432,4/22/2023,Asia Pacific,Office Supplies,SMB,1,88.83,62.17,0
TXN00445,4/23/2023,Latin America,Clothing,Consumer,2,152.91,104.05,0
TXN00376,4/23/2023,Asia Pacific,Electronics,Government,15,24415,10812.31,10
TXN00127,4/24/2023,Asia Pacific,Technology,Enterprise,2,1511.58,946.21,0
TXN00167,4/24/2023,Middle East,Clothing,Consumer,15,1027.14,619.78,5
TXN00421,4/26/2023,Middle East,Technology,Enterprise,3,9328.07,4403.97,0
TXN00224,4/27/2023,Latin America,Electronics,Government,25,9742.17,6627.9,0
TXN00163,4/30/2023,Middle East,Electronics,Enterprise,20,39544.95,21244.72,0
TXN00323,5/4/2023,North America,Office Supplies,Government,20,1426.62,724.88,0
TXN00193,5/7/2023,North America,Technology,SMB,3,8125.31,4696.3,5
TXN00448,5/8/2023,Middle East,Technology,Enterprise,2,8524.31,5748.96,0
TXN00248,5/10/2023,Asia Pacific,Furniture,SMB,50,80147.9,51835.19,0
TXN00030,5/11/2023,Latin America,Electronics,Government,20,39657.11,25206.15,5
TXN00388,5/17/2023,Asia Pacific,Furniture,Government,5,12798.24,8739.86,0
TXN00125,5/21/2023,Asia Pacific,Office Supplies,Government,20,1371.34,626.99,0
TXN00300,5/22/2023,North America,Clothing,SMB,50,2587.24,1597.74,0
TXN00190,5/23/2023,Europe,Furniture,Consumer,10,19103.67,8353.39,15
TXN00042,5/23/2023,Latin America,Furniture,SMB,3,5015.69,2500.05,0
TXN00203,5/25/2023,Asia Pacific,Electronics,Enterprise,3,5919.22,2383.72,5
TXN00369,5/27/2023,Europe,Technology,Government,15,34192.49,16779.43,0
TXN00238,5/29/2023,Europe,Office Supplies,SMB,2,232.33,106.2,0
TXN00254,5/29/2023,North America,Technology,SMB,2,1871.93,1137.17,5
TXN00270,5/29/2023,Latin America,Technology,Consumer,50,96254.01,55319.76,10
TXN00414,6/3/2023,Latin America,Technology,Consumer,10,12586.11,7671.15,0
